hold_id,scope,open_evidence,state,warning
P115-HOLD-001,PARITY SCOPE,"Digital schedules/netlists do not prove physical wiring, ratings, routing, workmanship or safety performance.",OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-002,INDEPENDENT REVIEW,A qualified reviewer has not independently accepted the P1.15 parity argument.,OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-003,WATCHDOG PCBA,"Current internal CAM exists; supplier-normalized XYRS, process acceptance, fabricated article and first article do not.",OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-004,RECEIVING,"Installed device identities, terminal markings, contact states and continuity remain unverified.",OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-005,OPERATOR MAPPING,"RESET, ARM and H1 lot-specific terminal maps remain open.",OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-006,PROTECTION,"F24, FSR1/FSR2 and actuator protection selections and coordination remain open.",OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-007,CONDUCTORS,"Wire, termination, routing, segregation, shielding and connector limits remain open.",OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-008,ENCLOSURE/BONDING,"Enclosure fabrication, entries, touch protection, PE and return/shield implementation remain open.",OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-009,FIRMWARE/HIL,"Installed firmware, target execution, fault injection and HIL evidence remain absent.",OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-010,TEST DEFINITION,"Exact instruments, calibration, uncertainty and numerical acceptance limits remain open.",OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-011,ACTUATOR EXCLUSION,The E2 physical absence/disconnection boundary has not been inspected or proven dead.,OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
P115-HOLD-012,AUTHORIZATION,No qualified four-role E2 run authorization exists.,OPEN,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
