selection_id,topic,state,evidence_uri,warning
CIU-001,received backplate and all three carrier board dimensions,SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-002,"exact carrier standoffs, fasteners, hole tolerances, edge distances, coating preparation and bonding disposition",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-003,"connector body and mated-harness sweep, depth, cover closure and service clearance",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-004,exact F1/F2/F3 holder terminal identities and source-side harness terminations,SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-005,"exact connector/terminal coordinates, duct entries, bend radii, service loops and cut lengths",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-006,"JST strip/crimp process, approved tooling, inspection, pull and retention criteria",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-007,"wire/connector/fuse/source current, voltage-drop, inrush, fault, regeneration, ambient, bundling and thermal coordination",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-008,"P0.3 PCBA DFM, assembly process, first article and three physical variants",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-009,"DXL-STAR-P0.2 manufacturing data, DFM, first article and received no-copper U2D2 VDD proof",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-010,"continuity, polarity, isolation, no-backfeed, reverse-energy and fault-injection evidence",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-011,"DXL waveform, error-rate, EMC and separation from actuator-current conductors",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CIU-012,"qualified electrical, mechanical-layout and functional-safety review plus separate written work authority",SELECTION REQUIRED,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
