gate_id,gate,objective_evidence,responsible_role,completion_record,state,authority,warning
FER-G01,Frozen as-built configuration,exact CAD/ECAD/firmware/software hashes and received-part identifiers agree with the traveler,configuration controller,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G02,Mechanical restraint and guards,"received assembly inspected; restraint, guards, feet, support frame and exclusion zone signed",mechanical reviewer,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G03,Protective-earth and DC reference,jurisdiction and enclosure assumptions frozen; PE continuity and the single proposed DC 0 V/PE bond measured,qualified electrical reviewer,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G04,External interruption chain,"source disconnect, two contactors, E-stop channels, monitored reset, EDM and service disconnect physically verified",functional-safety reviewer,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G05,Branch protection coordination,main and all branch protection selected from measured fault/inrush/regeneration evidence and documented clearing limits,qualified electrical reviewer,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G06,Harness acceptance,"25 power pairs and all signal links pass conductor, crimp, polarity, insulation, continuity, retention, flex and no-backfeed inspections",harness inspector,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G07,Received-board inspection,"controller, carriers and PDU match released candidates and pass assembly, isolation, polarity and unpowered checks",electronics reviewer,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G08,Safety fault injection,"E-stop, reset, EDM, watchdog, dual-contactors and welded/stuck/open fault cases pass the frozen procedure",functional-safety reviewer,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G09,No-motion software boundary,"approved target hash boots with all 25 torque bits, eight bus transmit paths, precharge request and action-ready output inactive; host logic is only precursor evidence",controls reviewer,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G10,Test environment,"guarded area, fall restraint, fire response, thermal monitoring, observers and stop roles are physically ready",test lead,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G11,Instrumentation and limits,"calibration records, probes, shunts, current/voltage/temperature limits and abort criteria are frozen",test lead,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-G12,Qualified release-to-test signoff,"electrical, functional-safety, mechanical, controls and test owners sign the same frozen configuration",configuration controller,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
