hold_id,unresolved_item,closure_evidence,state,execution_state,authority,warning
HH-OH01,exact current order codes for the 300 mm Standard-Mini camera cables are not published on the official product page,written supplier quotation/label plus received PCN/revision inspection,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-OH02,camera FFC routing has only a straight-line and nominal-length screen,"as-built route measurement, bend-radius limit, neck sweep and retention test",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-OH03,"remote display HDMI, power and touch breakout assemblies are unselected","connector/cable order codes, contact map, protection, fit and received assembly",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-OH04,reSpeaker official 2D/3D geometry and received fit are not reconciled to the planning envelopes,"manufacturer CAD import, collision check and incoming dimensional inspection",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-OH05,"speaker received geometry, mating plug, baffle and acoustic result are open","received part, controlled drawing, connector/retention and acoustic test",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-OH06,head auxiliary 5 V/12 V branch protection and conductor sizing are open,fault/inrush/duty/length/bundling/connector inputs and qualified sizing,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-OH07,privacy controls and indicators are architecture obligations only,"hardware design, deterministic control, host-fault tests and human-factors review",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-OH08,"fan lead/connector, guard, duct, current-sense failure detection and thermal limits are open","received fan, harness, guard/duct drawing and thermal/blocked-fan test",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-OH09,"whole-head EMC, speaker-to-microphone coupling and camera data integrity are untested",instrumented integrated-head test across representative actuator/noise states,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-OH10,"nothing is procured, assembled, connected, powered or qualified","as-built serial configuration, completed traveler/tests and separate signed authority",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
