hold_id,subject,state,closure_evidence,accepted,warning
KAP3-H-001,P1.18 disposition,OPEN,formal independent parity review and configuration acceptance or correction,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-002,received K1/K2 identity,OPEN,"received-label, terminal, coil polarity and contact-state records",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-003,measured load envelope,OPEN,"normal/peak/opening/reverse current, contact voltage, capacitance and time constant",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-004,source and fault envelope,OPEN,source current-limit/regeneration response and prospective fault current,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-005,protection coordination,OPEN,"selected F0/branch devices, curves, interrupting capacity and coordination",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-006,conductors and terminations,OPEN,"exact power conductors, jumpers, lugs/ferrules, lengths, routes and terminal acceptance",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-007,environment and duty,OPEN,"ambient, enclosure, mounting, cycles/hour, required life and maintenance policy",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-008,manufacturer application disposition,OPEN,identifiable written Schneider response tied to the complete measured envelope,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-009,physical loaded interruption,OPEN,"authorized guarded rail-decay, weld-equivalent, repeated interruption and endurance evidence",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-010,stopping requirement/validation,OPEN,qualified numerical allocation and executed motion/stopping evidence,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-H-011,qualified review,OPEN,configuration-specific electrical and functional-safety signed disposition,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
