step,endpoint,net,interpretation,configuration_result,application_result,warning
1,F0:1,ACT_12V_RAW,source enters unresolved upstream protection,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,F0:2,ACT_12V_FUSED,protection output; rating remains SELECTION REQUIRED,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,SD1:TBD-IN,ACT_12V_FUSED,service-disconnect input; terminal remains unresolved,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,SD1:TBD-OUT,K1_P1_IN,service-disconnect output; terminal remains unresolved,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,KP1:1L1,K1_P1_IN,K1 pole 1 input,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,KP1:2T1,K1_J12,series jumper to K1:3L2,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,KP1:3L2,K1_J12,K1 pole 2 input,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,KP1:4T2,K1_J23,series jumper to K1:5L3,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,KP1:5L3,K1_J23,K1 pole 3 input,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,KP1:6T3,K1_OUT,K1 output to K2:1L1,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
11,KP2:1L1,K1_OUT,K2 pole 1 input,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
12,KP2:2T1,K2_J12,series jumper to K2:3L2,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
13,KP2:3L2,K2_J12,K2 pole 2 input,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
14,KP2:4T2,K2_J23,series jumper to K2:5L3,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
15,KP2:5L3,K2_J23,K2 pole 3 input,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
16,KP2:6T3,ACT_12V_BUS,switched actuator-bus output,P1.15/P1.18 IDENTICAL,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
