part_id,module,primary_process_candidate,secondary_operations,finish_candidate,fixture_or_print_orientation,dfm_status,fai_status,release_state,warning
T01_TORSO_RAIL_R,T01,cut/drill fixture; exact section and temper selection required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_L,T01,cut/drill fixture; exact section and temper selection required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_SHOULDER_CROSS_TUBE,T01,3-axis machining/extrusion finish; joint load proof required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_PELVIS_PLATE_FRONT,P01,2.5D CNC candidate; MTR/tolerance/fixture review required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_PELVIS_PLATE_REAR,P01,2.5D CNC candidate; MTR/tolerance/fixture review required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_WAIST_BRIDGE,P01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01_NECK_TUBE,N01,tube/machined candidate; buckling and joint proof required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_RESTRAINT_BRIDGE,P01,CNC candidate; no restraint rating or load credit,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_SIDE_FRONT,L01,2.5D CNC/waterjet candidate; edge finish and flatness open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_SIDE_FRONT,L01,2.5D CNC/waterjet candidate; edge finish and flatness open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_SIDE_REAR,L01,2.5D CNC/waterjet candidate; edge finish and flatness open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_SIDE_REAR,L01,2.5D CNC/waterjet candidate; edge finish and flatness open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z72,L01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z135,L01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z183,L01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z235,L01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z300,L01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z355,L01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_SOLE_CARRIER,F01,2.5D CNC candidate; sole interface open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_TOP_BRIDGE,F01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_FRONT,A01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_FRONT,A01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_REAR,A01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_REAR,A01,2.5D CNC candidate,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
