interface_id,scope,controlled_value,state,evidence_needed,gate,warning
CSTI-001,Storage identity,Kingston SDCIT2/64GBSP 64 GB card-only,EXACT_CANDIDATE,"Approved seller trace; received package and card markings; lot and country; counterfeit screening",EG-003,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-002,Physical format,microSDXC 11 x 15 x 1 mm family envelope,PARTIAL,"Received dimensions; contact and body inspection; insertion and retention check in the exact received Pi",EG-003;EG-005,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-003,Electrical interface,UHS-I at 3.3 V,PARTIAL,"Received host detection; negotiated mode; current and thermal measurement; no-damage insertion/removal",EG-010;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-004,Capacity,64 GB published and below Raspberry Pi documented 2 TB maximum,PARTIAL,"Destructive capacity verification on the received card; bad-block and read/write acceptance",EG-003;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-005,Host compatibility,Raspberry Pi 5 microSD slot with SDR104 host capability,OPEN,"Boot and repeated cold/warm restart evidence on exact received PI1 and STORE1; negotiated speed and error log",EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-006,Endurance basis,"Family publishes pSLC-mode TLC and 30K P/E cycles; 64 GB TBW is not published",PARTIAL,"Kingston capacity-specific endurance disposition or project write-budget and accelerated endurance evidence",EG-003;EG-027,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-007,Power-failure feature,Manufacturer lists power-failure protection,PARTIAL,"Project image abrupt-loss fault injection; corruption detection; recovery; repeated-cycle evidence; safe motion-inactive reboot",EG-017;EG-021,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-008,Image identity,"Raspberry Pi OS Lite 64-bit candidate remains pinned separately; no media written",PINNED_NOT_EXECUTED,"Controlled download; independent hash; write; full readback; boot; package and configuration manifests",EG-002;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-009,Filesystem write policy,SELECTION REQUIRED,OPEN,"Writable-path inventory; log limits; read-only or overlay decision; graceful shutdown; corruption recovery",EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-010,Health monitoring,Manufacturer lists health monitoring but no Project Button reader is selected,OPEN,"Supported command/interface evidence; polling cadence; thresholds; alarms; false-negative and replacement policy",EG-017;EG-027,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-011,Retention and service,SELECTION REQUIRED,OPEN,"Installed orientation; access; retention under vibration; replacement controls; ESD handling",EG-005;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-012,Backup update rollback,SELECTION REQUIRED,OPEN,"Golden image; signed promotion; rollback; offline recovery; secrets handling; configuration-drift audit",EG-002;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CSTI-013,Qualified application review,SELECTION REQUIRED,OPEN,"Configuration controls and electrical reviewers accept the exact card host image and power-loss evidence",EG-003;EG-022,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
