interface_id,subject,controlled_candidate_or_rule,source_basis,current_state,closure_evidence,gate_effect,warning
USB-IF-001,Candidate identity,StarTech.com USB2AC50CM exact candidate,USB-SRC-001/002,EXACT CANDIDATE HOLD,"received manufacturer packaging and cable markings; deviation disposition",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-002,Host connector,USB 2.0 Type-A plug candidate,USB-SRC-002,EXACT CANDIDATE HOLD,"received Raspberry Pi/case port access and insertion fit; assigned host port record",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-003,Device connector,USB Type-C plug carrying USB 2.0 candidate,USB-SRC-002/003,EXACT CANDIDATE HOLD,"received U2D2 SKU and Type-C revision; insertion and polarity-independent enumeration",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-004,Length,0.5 m catalog length,USB-SRC-002,EXACT CANDIDATE HOLD,"received measured free length; route service-loop and access proof",EG-003/EG-010 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-005,Outside diameter,3.5 mm catalog OD,USB-SRC-002,EXACT CANDIDATE HOLD,"received OD at multiple locations; GTM3/GT3 fit and non-damaging retention",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-006,Construction,"22/30 AWG; PVC jacket; aluminum-mylar foil with braid shield",USB-SRC-002,EXACT CANDIDATE HOLD,"received markings; continuity; shield/ground construction verification without destructive acceptance inference",EG-010/EG-017 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-007,Published data rate,USB 2.0 480 Mbps cable; U2D2 maximum 6 Mbps,USB-SRC-002/003,ANALYTICAL COMPATIBILITY SCREEN ONLY,"enumeration; sustained DYNAMIXEL traffic; error counters; waveform/jitter at selected rates",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-008,Bend control,No minimum bend radius published in controlled sources,USB-SRC-002,SELECTION REQUIRED,"qualified bend limit and route; closed-cover/service inspection; no jacket whitening kinking or connector load",EG-003/EG-010 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-009,Retention,GTM500C2/GT.50X80C2 position is a candidate only,HR-V0-CP-P0.6,FAIL-CLOSED HOLD,"selected fastener/torque; strap overlap; pull/slip/abrasion/vibration and repeated-service acceptance",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-010,Local environment,Keep installed cable within published 0 to 35 C and 5 to 80 percent RH noncondensing,USB-SRC-002,FAIL-CLOSED HOLD,"calibrated local temperature/humidity under worst simultaneous duty and ambient; qualified limit acceptance",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-011,Power path,USB power conductors exist but provide no actuator-power path and no safety credit,USB-SRC-002/003,FAIL-CLOSED HOLD,"off-state and sequencing current/voltage measurements; no unexpected backfeed; fault and brownout behavior",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-012,Ground/common-mode,Do not infer reference-voltage grounding or shield termination from the cable construction,USB-SRC-003,SELECTION REQUIRED,"qualified PE/DC0V/shield disposition; common-mode measurement; no-damage power-sequence and fault tests",EG-017 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-013,EMC and separation,Route remains segregated from actuator-current conductors except reviewed crossings,HR-V0-CP-P0.6,FAIL-CLOSED HOLD,"installed route inspection; conducted/radiated susceptibility evidence; communication-error test during actuator-current transients",EG-010/EG-017 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
USB-IF-014,Software/HIL,Successful USB enumeration cannot authorize motion,Project control architecture,FAIL-CLOSED HOLD,"device identity binding; disconnect/reconnect; malformed/timeout behavior; watchdog and supervisor HIL; fresh command required after recovery",EG-010/EG-015/EG-016 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
