hold_id,topic,current_state,evidence_to_close,owner,gate,warning
CST-HOLD-001,Exact received identity,OPEN,"Seller trace packaging card markings lot and counterfeit screening",configuration_manager,EG-003,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-002,Capacity and media integrity,OPEN,"Destructive capacity test full write/read bad-block/error record",controls_engineer,EG-003;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-003,Pi 5 host compatibility,OPEN,"Exact PI1/STORE1 negotiated mode boot restart and error evidence",controls_engineer,EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-004,64 GB endurance allocation,OPEN,"Manufacturer capacity-specific disposition or project write-budget and accepted endurance evidence",systems_engineer,EG-003;EG-027,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-005,Controlled image write,OPEN,"Downloaded hash verified image written and full readback hash recorded",configuration_manager,EG-002;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-006,Filesystem policy,OPEN,"Writable-path inventory log quotas overlay/read-only and shutdown policy released",controls_engineer,EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-007,Abrupt power-loss behavior,OPEN,"Released cycle count interruption timing corruption detection recovery and safe inactive reboot evidence",controls_engineer,EG-017;EG-021,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-008,Health monitoring,OPEN,"Supported telemetry interface thresholds alarms replacement decision and test evidence",controls_engineer,EG-017;EG-027,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-009,Retention service ESD,OPEN,"Installed orientation retention vibration access replacement and ESD procedure evidence",mechanical_engineer,EG-005;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-010,Backup update rollback,OPEN,"Golden image signed promotion rollback offline recovery and drift audit",configuration_manager,EG-002;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-011,Thermal and current,OPEN,"Exact-card startup steady read/write and fault current plus installed temperature evidence",electrical_engineer,EG-010;EG-027,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
CST-HOLD-012,Qualified review,OPEN,"Signed configuration controls and electrical application disposition",program_owner,EG-003;EG-022,PRELIMINARY - NOT APPROVED FOR PROCUREMENT INSTALLATION IMAGING CONNECTION POWERED TEST OR ENERGIZATION
