step,operation,acceptance,record,state,stop_rule
A01,"verify exact received part numbers, wire colors, lot/traceability and undamaged insulation",all match candidate BOM; record lot and photo,BH-R01,NOT EXECUTED,STOP on mismatch
A02,cut BH-W01 red and BH-W02 black separately,1000 +/- 5 mm before termination; measure each,BH-R02/BH-R03,NOT EXECUTED,STOP outside length
A03,prepare Mini-Fit ends,strip 3.00-3.30 mm; no cut/nicked strands; insulation OD within 3.1 mm tool maximum,BH-R04/BH-R05,NOT EXECUTED,discard damaged wire end
A04,make and destructively test one process coupon before production contacts,20 AWG conductor crimp height 0.83-0.93 mm and pull force > 58.7 N; insulation crimp removed from pull influence,BH-R06,NOT EXECUTED,STOP until process passes
A05,crimp production contacts with 63819-0901 20-24 AWG profile,full ratchet cycle; visible conductor brush/bellmouth; crimp height 0.83-0.93 mm; no deformation,BH-R07/BH-R08,NOT EXECUTED,reject nonconforming contact
A06,insert black contact into J1 cavity 1 and red contact into J1 cavity 2,stop tab down per Molex application specification; audible/physical lock; gentle retention check,BH-R09,NOT EXECUTED,do not force; extracted contact may not be reused
A07,terminate Pomona 4933-0 black and 4933-2 red ends using separately approved process,threaded bodies secure; no exposed conductor; polarity color matches conductor,BH-R10,NOT EXECUTED,STOP without approved source-end process
A08,apply labels and dress paired lead,BH-W01/BH-W02 labels readable; 12.7 mm minimum relaxed free length behind J1; no tight tie or sharp bend,BH-R11,NOT EXECUTED,rework strain/bend violation
A09,independent de-energized continuity/polarity/short inspection,red plug to J1-2 only; black plug to J1-1 only; open between circuits and to exposed housing,BH-R12,NOT EXECUTED,quarantine on any ambiguity
A10,as-built review and bag/label assembly,all records complete; qualified reviewer signs; warning label attached,BH-R13,NOT EXECUTED,no connection without separate authorization
