source_id,manufacturer,document,document_date,accessed,official_url,verified_scope
MOLEX-TOOL,Molex,638190901 Rev D,2025-03-31,2026-08-15,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/applicationtoolingspecificationpdf/638/63819/638190901-000.pdf,63819-0901; 39-00-0038; 18-24 AWG; 3.00-3.30 mm strip; 18 AWG 1.00-1.10 mm crimp-height and >88.0 N pull criteria
MOLEX-APPLICATION,Molex,55560002-AS Rev A1,2025-01-09,2026-08-15,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/applicationspecificationspdf/555/5556/55560002-AS-000.pdf,terminal handling/insertion; no live mate/unmate; 12.7 mm free wire for 2-circuit housing; extracted terminal not reused
MOLEX-PRODUCT,Molex,PS-5556-001 Rev H2,2026-06-22,2026-08-15,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/productspecificationpdf/555/5556/PS-5556-001-001.pdf,current Mini-Fit Jr product-system boundary; application-specific derating remains required
MOLEX-EXTRACT,Molex,ATS-011030044 Rev N,2023-05-05,2026-08-15,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/applicationtoolingspecificationpdf/606/60630/ATS-011030044-001.pdf,11-03-0044 applies to 39-00-0038
MUELLER-LEAD,Mueller Electric,DS-BU-0061-M-@; revision/date not stated,live official data sheet accessed 2026-08-15,2026-08-15,https://www.muellerelectric.com/product_files/21/DS-BU-0061-M-%40.pdf,BU-0061-M family; manufacturer-assembled 4 mm shrouded banana; tin-dipped free end; 18 AWG 413/44 UL 3577 highly flexible silicone; 39 inch standard length; black suffix -0 and red suffix -2
MUELLER-LIST,Mueller Electric,Mueller UKCA and CE parts 101525,2025-10-15,2026-08-15,https://ww2.muellerelectric.com/wp-content/uploads/2025/10/Mueller-UKCA-and-CE-parts-101525.pdf,current official list includes BU-0061-M-39-0 black and BU-0061-M-39-2 red
ROBOTIS-PHB,ROBOTIS,live official Docs; revision not visible,accessed 2026-08-15,2026-08-15,https://docs.robotis.com/docs/parts/interface/u2d2_power_hub/,3.5-24 V; 10 A maximum; one power input only; Mini-Fit pin 1 GND / pin 2 VDD
MITUTOYO-CRIMP,Mitutoyo,Series 342 Crimp Height Micrometer product page; revision/date not stated,live official product page accessed 2026-08-15,2026-08-15,https://dev.pim.mitutoyo.com/products/small-tool-instruments-and-data-management/micrometers/digimatic-micrometers/crimp-height-micrometer/,342-271-30; pointed spindle/blade anvil; 0-20 mm; 0.001 mm resolution; +/-0.003 mm accuracy; instrument calibration and method acceptance remain open
MARK10-PULL,Mark-10,WT-205M data sheet 32-1278 Rev 1225,2025-12,2026-08-15,https://mark-10.com/downloads/product-downloads/DataSheetWT-205M.pdf,WT-205M; 1000 N capacity; 0.5 N resolution; +/-0.2% full-scale; 10-300 mm/min; installed turret and wedge grip; CERT option with 10 data points; sample/grip suitability remains open
KNIPEX-CUT,KNIPEX,95 11 165 product page; revision/date not stated,live official product page accessed 2026-08-15,2026-08-15,https://www.knipex-tools.com/products/cable-and-wire-rope-shears/cable-shears/cable-shears-1000v-insulated/9511165,95 11 165; copper/aluminum single and multi-stranded cable; precision-ground blades; clean cut without crushing/deformation
KNIPEX-STRIP,KNIPEX,12 12 14 product page; revision/date not stated,live official product page accessed 2026-08-15,2026-08-15,https://www.knipex-tools.com/products/wire-strippers-and-dismantling-tools/automatic-wire-strippers/automatic-wire-stripper-mm2/121214,12 12 14; 16-26 AWG; form-fit stripping of silicone and other difficult insulation; shaped blade and length stop; exact 3.00-3.30 mm setup and received 413/44 compatibility remain open
