hold_id,hold,state,closure_evidence,warning
HOLD-01,"P0.2 CAM supplier/process acceptance, normalized XYRS, DFM and first article",OPEN,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-02,"Watchdog PCB-P1.0 supplier-normalized manufacturing package, provider/process acceptance and first article",SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-03,"E2 received physical configuration, continuity/isolation/no-backfeed evidence and four-role authorization",NOT EXECUTED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-04,"Limiter-carrier provider, process, stackup acceptance and first article",SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-05,Carrier input-harness source-side terminals and exact cut lengths,SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-06,Carrier output-harness star-side terminals and exact cut lengths,SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-07,"Received panel, board, standoff, screw and connector fit",NOT EXECUTED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-08,"Branch protection current-limit, reverse-energy, transient, thermal and fault characterization",NOT EXECUTED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-09,"Complete configuration review by qualified electrical, mechanical and functional-safety reviewers",SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-10,Separate written work authorization for each physical stage,NOT AUTHORIZED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-11,Independent P1.15-to-P1.17 core-parity and P0.5 integration review,SELECTION REQUIRED,qualified review disposition tied to exact commit and native sources,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-12,Raspberry Pi 5/RP1 GPIO and 3V3 loading acceptance plus STANDBY/ramp/brownout evidence,SELECTION REQUIRED,manufacturer disposition and controlled physical measurements,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-13,"P0.5 fabricator/assembler DFM, received identity, first article and fault/thermal/EMC evidence",NOT EXECUTED,"provider responses, inspection records and controlled test evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-14,"Observation field and compute harness exact cut lengths, routing, termination and continuity/pull evidence",SELECTION REQUIRED,"as-built route survey, released drawings and signed physical records","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-15,"Add exact observation assemblies, hardware and harness quantities to the hierarchical BOM",DESIGN REQUIRED,"reviewed BOM rows with exact quantities, identities, closure classes and receiving evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
