Ref,Val,Package,PosX,PosY,Rot,Side
"CDV1","2.2 nF C1608C0G1H222J080AA","C_0603_1608Metric",60.000000,-18.000000,0.000000,top
"CINBULK1","1 uF C1608X7R1V105K080AC","C_0603_1608Metric",32.000000,-36.000000,0.000000,top
"CINHF1","0.1 uF C1608X7R1H104K080AA","C_0603_1608Metric",32.000000,-28.000000,0.000000,top
"COUTA1","1 uF C1608X7R1V105K080AC","C_0603_1608Metric",68.000000,-26.000000,0.000000,top
"COUTB1","1 uF C1608X7R1V105K080AC","C_0603_1608Metric",68.000000,-31.000000,0.000000,top
"DCLAMP1","B330A-13-F","D_SMA",78.000000,-20.000000,90.000000,top
"JIN1","JST B2P-VH INPUT","JST_VH_B2P-VH_1x02_P3.96mm_Vertical",8.000000,-30.000000,-90.000000,top
"JOUT1","JST B2P-VH OUTPUT","JST_VH_B2P-VH_1x02_P3.96mm_Vertical",92.000000,-30.000000,90.000000,top
"RILM1","ASSEMBLY VARIANT: 1.65 k / 3.32 k","R_0603_1608Metric",60.000000,-42.000000,0.000000,top
"ROVB1","44.2 k RC0603FR-0744K2L","R_0603_1608Metric",44.000000,-42.000000,0.000000,top
"ROVT1","470 k RC0603FR-07470KL","R_0603_1608Metric",40.000000,-42.000000,0.000000,top
"RUVB1","49.9 k RC0603FR-0749K9L","R_0603_1608Metric",44.000000,-18.000000,0.000000,top
"RUVT1","365 k RC0603FR-07365KL","R_0603_1608Metric",40.000000,-18.000000,0.000000,top
"TPFLT1","Keystone 5012 FLT","TestPoint_Keystone_5010-5014_Multipurpose",20.000000,-38.000000,0.000000,top
"TPGND1","Keystone 5011 GND","TestPoint_Keystone_5010-5014_Multipurpose",50.000000,-52.000000,0.000000,top
"TPILM1","Keystone 5012 ILM","TestPoint_Keystone_5010-5014_Multipurpose",70.000000,-42.000000,0.000000,top
"TPOUT1","Keystone 5010 VOUT","TestPoint_Keystone_5010-5014_Multipurpose",84.000000,-12.000000,0.000000,top
"TPSPLY1","Keystone 5012 SPLYGD","TestPoint_Keystone_5010-5014_Multipurpose",20.000000,-22.000000,0.000000,top
"TPVIN1","Keystone 5010 VIN","TestPoint_Keystone_5010-5014_Multipurpose",16.000000,-12.000000,0.000000,top
"U1","TPS259461LRPWR","TI_RPW0010A_HotRodQFN_2x2mm_P0.45mm_TI4225183A_P02",50.000000,-30.000000,0.000000,top
