control_id,from_component,from_datum,to_component,to_datum,controlled_quantity,nominal_value,tolerance,unit,allowed_evidence,verification,effect_if_open,status
GDC-001,FR12-H104K,H104 mounting plane,OpenMANIPULATOR link5/link5 parent frame,carrier mounting plane,translation X,SELECTION REQUIRED,SELECTION REQUIRED,mm,"official controlled native CAD/drawing or received-part metrology","AUDIT-GRIP-002","No merged arm/gripper assembly or collision credit",OPEN
GDC-002,FR12-H104K,H104 mounting plane,OpenMANIPULATOR link5/link5 parent frame,carrier mounting plane,translation Y,SELECTION REQUIRED,SELECTION REQUIRED,mm,"official controlled native CAD/drawing or received-part metrology","AUDIT-GRIP-002","No merged arm/gripper assembly or collision credit",OPEN
GDC-003,FR12-H104K,H104 mounting plane,OpenMANIPULATOR link5/link5 parent frame,carrier mounting plane,translation Z,SELECTION REQUIRED,SELECTION REQUIRED,mm,"official controlled native CAD/drawing or received-part metrology","AUDIT-GRIP-002","No merged arm/gripper assembly or collision credit",OPEN
GDC-004,FR12-H104K,H104 datum axes,OpenMANIPULATOR link5/link5 parent frame,carrier datum axes,rotation X,SELECTION REQUIRED,SELECTION REQUIRED,deg,"official controlled native CAD/drawing or received-part metrology","AUDIT-GRIP-002","No merged arm/gripper assembly or collision credit",OPEN
GDC-005,FR12-H104K,H104 datum axes,OpenMANIPULATOR link5/link5 parent frame,carrier datum axes,rotation Y,SELECTION REQUIRED,SELECTION REQUIRED,deg,"official controlled native CAD/drawing or received-part metrology","AUDIT-GRIP-002","No merged arm/gripper assembly or collision credit",OPEN
GDC-006,FR12-H104K,H104 datum axes,OpenMANIPULATOR link5/link5 parent frame,carrier datum axes,rotation Z,SELECTION REQUIRED,SELECTION REQUIRED,deg,"official controlled native CAD/drawing or received-part metrology","AUDIT-GRIP-002","No merged arm/gripper assembly or collision credit",OPEN
GDC-007,FR12-H104K,H104 mounting pattern,OpenMANIPULATOR link5/carrier,carrier fastener pattern,"hole count positions diameters threads and engagement",SELECTION REQUIRED,SELECTION REQUIRED,mixed,"official controlled native CAD/drawing plus received thread and fit inspection","AUDIT-GRIP-002","No fastener stack assembly or fabrication release",OPEN
GDC-008,OpenMANIPULATOR gripper,rail and crank mechanism,Project Button fixed guard,guard keep-out and service envelope,"moving envelope clearance and access-probe exclusion",SELECTION REQUIRED,SELECTION REQUIRED,mm,"controlled complete mechanism CAD correlated to received assembly","AUDIT-GRIP-002;INSPECT-GRIP-001","No guard fabrication or guarded motion",OPEN
GDC-009,OpenMANIPULATOR gripper,left and right object-contact surfaces,Project Button object datum,usable opening over commanded range,"opening pad parallelism and centerline",SELECTION REQUIRED,SELECTION REQUIRED,mm,"received assembly metrology with installed pads and calibrated motion","AUDIT-GRIP-002;INSPECT-GRIP-001","No object-range or grip-force claim",OPEN
GDC-010,OpenMANIPULATOR gripper,complete received mechanism,HR-V0 A07 moving assembly,mass and local center of mass,"mass COM and cable allocation",SELECTION REQUIRED,SELECTION REQUIRED,mixed,"received calibrated mass and metrology records","AUDIT-GRIP-002","MASS-002 remains open",OPEN
