hold_id,interface,required_evidence,status,why_fail_closed,release_boundary
GAH-001,"20-2040 end to gripper","controlled adapter CAD and drawing registering the two current M5x0.8 end taps to the selected gripper mounting pattern",OPEN,"neither candidate STEP native coordinates nor catalog hole callouts establish the Project Button assembly transform","no adapter quotation fabrication or assembly"
GAH-002,"adapter fastener stack","exact fastener order codes material engagement locking reuse torque and access plus received fit",OPEN,"catalog geometry is not a released joint stack","SELECTION REQUIRED"
GAH-003,"moving mass properties","received gripper adapter guard pads cable mass plus assembly COM and inertia",OPEN,"30 g and 101 g are supplier catalog masses only","MASS-002 remains open"
GAH-004,"moving envelope and fixed guard","merged swept geometry including fingers servo lead adapter pads object and service motion",OPEN,"the vendor STEP does not define HR-V0 registration command stops cable bend or guard","no guarded motion"
GAH-005,"object contact","pad material geometry retention cleanability and characterized grip force over accepted object range",OPEN,"stall torque is not safe contact force","GRIP-001 and GRIP-002 remain open"
GAH-006,"6 V branch","post-K1/K2 converter exact part derating thermal layout conductors connector branch protection fault current and voltage-drop evidence",OPEN,"a regulator product page is not a selected protected branch","no connection or energization"
GAH-007,"PWM command","exact controller output level timing startup shutdown watchdog behavior and harness",OPEN,"manufacturer endpoint examples vary by unit and are not HR-V0 released commands","no automatic motion after reset; motion remains inhibited"
GAH-008,"analog feedback","exact receiving input range impedance protection conversion calibration disconnect detection and plausibility handling",OPEN,"the feedback lead is useful but has no selected Project Button input circuit","no position or object-detection claim"
GAH-009,"power removal and reset","prove gripper power drops with redundant actuator-power interruption and reset cannot issue a PWM motion command",OPEN,"the current DYNAMIXEL architecture does not cover a hobby-servo branch","no safety credit and no energization"
GAH-010,"received evidence","inventory identity metrology free-motion bind current force drop wear cable retention and fault-injection records",OPEN,"no candidate article has been ordered received or tested","no physical requirement closure"
GAH-011,"requirement architecture","qualified disposition of solution-specific GRIP-002 wording before candidate selection",OPEN,"a candidate change must not silently rewrite the authoritative requirement","no architecture selection"
GAH-012,"qualified reviews","independent mechanical electrical controls and functional-safety boundary review",OPEN,"project-owned trade study is not approval","no procurement fabrication motion or energization authority"
