route_id,module,service_class,start_xyz_mm,end_xyz_mm,geometric_centerline_mm,corridor_diameter_mm,minimum_dynamic_bend_radius_mm,fill_budget,service_loop_and_cut_length,moving_joint_flex_life,state
HN01_TORSO_POWER_SPINE,HN01,ACTUATOR POWER,"(18.0,18.0,405.0)","(18.0,18.0,575.0)",170.0,14.0,70.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_TORSO_DATA_SPINE,HN01,DATA/LOW VOLTAGE,"(-18.0,-18.0,405.0)","(-18.0,-18.0,575.0)",170.0,10.0,50.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_HEAD_BRANCH,HN01,DATA/LOW VOLTAGE,"(-18.0,-18.0,575.0)","(0.0,-12.0,700.0)",126.4,10.0,50.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_HEAD_POWER_BRANCH,HN01,ACTUATOR POWER,"(18.0,18.0,575.0)","(0.0,12.0,700.0)",126.4,8.0,40.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_L_LEG_POWER,L01,ACTUATOR POWER,"(74.5,15.0,410.0)","(74.5,15.0,35.0)",375.0,12.0,60.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_L_LEG_DATA,L01,DATA/ENCODER,"(50.5,-15.0,410.0)","(50.5,-15.0,35.0)",375.0,9.0,45.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_L_ARM_POWER,A01,ACTUATOR POWER,"(92.0,15.0,575.0)","(140.0,15.0,295.0)",284.1,10.0,50.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_L_ARM_DATA,A01,DATA/ENCODER,"(100.0,-15.0,575.0)","(140.0,-15.0,295.0)",282.8,8.0,40.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_R_LEG_POWER,L02,ACTUATOR POWER,"(-74.5,15.0,410.0)","(-74.5,15.0,35.0)",375.0,12.0,60.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_R_LEG_DATA,L02,DATA/ENCODER,"(-50.5,-15.0,410.0)","(-50.5,-15.0,35.0)",375.0,9.0,45.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_R_ARM_POWER,A02,ACTUATOR POWER,"(-92.0,15.0,575.0)","(-140.0,15.0,295.0)",284.1,10.0,50.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
HN01_R_ARM_DATA,A02,DATA/ENCODER,"(-100.0,-15.0,575.0)","(-140.0,-15.0,295.0)",282.8,8.0,40.0,SELECTION REQUIRED AFTER CABLE OD/COUNT,SELECTION REQUIRED,SELECTION REQUIRED AND TEST REQUIRED,LOCATED CORRIDOR - CABLE NOT RELEASED
