boundary_id,boundary_type,bus_id,axis_id,known_side,known_pin_mapping,mating_part,validation
CB-RS-LLEG,CONTROLLER / SEGMENT DATA-ONLY,RS-LLEG,N/A,Carrier A ISOW1432DFMR / USART1,"BM03B-GHS-TBT; 1=reference, 2=data+, 3=data-; NO VDD",JST GHR-03V-S WITH JST SSHL-002T-P0.2 CONTACTS; ASSEMBLED CABLE SELECTION REQUIRED,SOURCE-VERIFIED CANDIDATE; PCB/CABLE/EMC/FAULT TEST NOT EXECUTED
AB-L_HIP_YAW,HARNESS / ACTUATOR,RS-LLEG,L_HIP_YAW,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-L_HIP_ROLL,HARNESS / ACTUATOR,RS-LLEG,L_HIP_ROLL,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-L_HIP_PITCH,HARNESS / ACTUATOR,RS-LLEG,L_HIP_PITCH,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-L_KNEE_PITCH,HARNESS / ACTUATOR,RS-LLEG,L_KNEE_PITCH,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-L_ANKLE_PITCH,HARNESS / ACTUATOR,RS-LLEG,L_ANKLE_PITCH,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-L_ANKLE_ROLL,HARNESS / ACTUATOR,RS-LLEG,L_ANKLE_ROLL,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
CB-RS-RLEG,CONTROLLER / SEGMENT DATA-ONLY,RS-RLEG,N/A,Carrier A ISOW1432DFMR / USART2,"BM03B-GHS-TBT; 1=reference, 2=data+, 3=data-; NO VDD",JST GHR-03V-S WITH JST SSHL-002T-P0.2 CONTACTS; ASSEMBLED CABLE SELECTION REQUIRED,SOURCE-VERIFIED CANDIDATE; PCB/CABLE/EMC/FAULT TEST NOT EXECUTED
AB-R_HIP_YAW,HARNESS / ACTUATOR,RS-RLEG,R_HIP_YAW,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-R_HIP_ROLL,HARNESS / ACTUATOR,RS-RLEG,R_HIP_ROLL,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-R_HIP_PITCH,HARNESS / ACTUATOR,RS-RLEG,R_HIP_PITCH,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-R_KNEE_PITCH,HARNESS / ACTUATOR,RS-RLEG,R_KNEE_PITCH,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-R_ANKLE_PITCH,HARNESS / ACTUATOR,RS-RLEG,R_ANKLE_PITCH,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-R_ANKLE_ROLL,HARNESS / ACTUATOR,RS-RLEG,R_ANKLE_ROLL,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
CB-RS-LARM,CONTROLLER / SEGMENT DATA-ONLY,RS-LARM,N/A,Carrier A ISOW1432DFMR / USART3,"BM03B-GHS-TBT; 1=reference, 2=data+, 3=data-; NO VDD",JST GHR-03V-S WITH JST SSHL-002T-P0.2 CONTACTS; ASSEMBLED CABLE SELECTION REQUIRED,SOURCE-VERIFIED CANDIDATE; PCB/CABLE/EMC/FAULT TEST NOT EXECUTED
AB-L_SHOULDER_PITCH,HARNESS / ACTUATOR,RS-LARM,L_SHOULDER_PITCH,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-L_SHOULDER_ROLL,HARNESS / ACTUATOR,RS-LARM,L_SHOULDER_ROLL,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
AB-L_ELBOW_PITCH,HARNESS / ACTUATOR,RS-LARM,L_ELBOW_PITCH,JST EHR-04,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST SEH-001T-P0.6 CONTACT IN LISTED HOUSING; ASSEMBLED CABLE SELECTION REQUIRED,NOT EXECUTED
CB-RS-RARM,CONTROLLER / SEGMENT DATA-ONLY,RS-RARM,N/A,Carrier A ISOW1432DFMR / USART6,"BM03B-GHS-TBT; 1=reference, 2=data+, 3=data-; NO VDD",JST GHR-03V-S WITH JST SSHL-002T-P0.2 CONTACTS; ASSEMBLED CABLE SELECTION REQUIRED,SOURCE-VERIFIED CANDIDATE; PCB/CABLE/EMC/FAULT TEST NOT EXECUTED
