source_id,official_url,revision_or_date,accessed_date,verified,not_verified
XH540,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,ROBOTIS-GIT b0c64501f080d20088d044c65569f45279351ade; 2025-06-19,2026-08-14,1=GND; 2=VDD; 3=DATA+; 4=DATA-; JST EHR-04; JST B4B-EH-A; JST SEH-001T-P0.6; 21 AWG published,whole-robot harness application
XM540,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS-GIT b0c64501f080d20088d044c65569f45279351ade; 2025-06-19,2026-08-14,1=GND; 2=VDD; 3=DATA+; 4=DATA-; JST EHR-04; JST B4B-EH-A; JST SEH-001T-P0.6; 21 AWG published,whole-robot harness application
XM430,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,ROBOTIS-GIT b0c64501f080d20088d044c65569f45279351ade; 2025-06-19,2026-08-14,1=GND; 2=VDD; 3=DATA+; 4=DATA-; JST EHR-04; JST B4B-EH-A; JST SEH-001T-P0.6; 21 AWG published,whole-robot harness application
XC330,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,ROBOTIS-GIT 91f72d1ddd3f86d94d74b35ab037f7ec8c8c4dbe; 2026-01-27,2026-08-14,1=GND; 2=VDD; 3=DATA; JST EHR-03; JST B3B-EH-A; JST SEH-001T-P0.6; 21 AWG published,whole-robot harness application
STM32H743ZIT6,https://www.st.com/resource/en/datasheet/stm32h742bg.pdf,ST DS12110 REV 11,2026-08-14,LQFP144 package pins and UART alternate functions used by all eight segments,"carrier PCB implementation, timing and physical validation"
ISOW1432DFMR,https://www.ti.com/lit/ds/symlink/isow1432.pdf,TI SLLSF86C REV C; 2022-03,2026-08-14,20-pin DFM package pinout and active orderable device candidate,"HR-30 decoupling, layout, termination, protection and EMC"
SN74LVC1T45DCKR,https://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf,TI SCES515N REV N; 2024-06,2026-08-14,DCK/SC70-6 package pinout and active orderable device candidate,"HR-30 sequencing, protection and single-wire waveform behavior"
JST-GH,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,CURRENT OFFICIAL CATALOG; REVISION DATE NOT STATED,2026-08-14,GHR-15V-S/BM15B-GHS-TBT/SSHL-002T-P0.2 logic-only controller cable family,"assembled cable, flex life, retention, environmental and EMC performance"
JST-PA,https://www.jst-mfg.com/product/pdf/eng/ePA-F.pdf,CURRENT OFFICIAL CATALOG; REVISION DATE NOT STATED,2026-08-18,PAP-02V-S/PAP-03V-S housings; B02B-PASK-1/B03B-PASK-1 through-hole secure-lock headers; SPHD-001T-P0.5 0.13-0.33 mm2 and SPHD-002T-P0.5 0.08-0.21 mm2 contacts,"received conductor insulation O.D., crimp tooling, pull strength, flex life, retention, environmental and EMC performance"
U2D2,https://docs.robotis.com/docs/parts/interface/u2d2/,ROBOTIS-GIT 2c6cbdc3c85abd30451ec56126303395c69b2bf6; 2026-04-17,2026-08-14,no actuator power; max 6 Mbps; optional 120 ohm termination,final eight-segment controller; REJECTED for that role
U2D2-PHB,https://docs.robotis.com/docs/parts/interface/u2d2_power_hub/,ROBOTIS-GIT 700c2bfd2e8da9dc64c18ce4020f33feb454d8eb; 2025-02-05,2026-08-14,3.5-24 V; 10 A maximum aggregate,whole-body power; REJECTED for summed actuator power
JST-EH,https://www.jst-mfg.com/product/pdf/eng/eEH.pdf,CURRENT PDF; REVISION DATE NOT STATED,2026-08-14,EH series catalog interface data,HR-30 application current/flex/derating
