step_id,action,entry_gate,output,authorization,execution_state,warning
R255-WF-01,Freeze exact inquiry package hashes,GT-01,Controlled transmittal record,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-02,Authorize and send sales/order inquiry,GT-01,Attributable ROBOTIS sales response,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-03,Authorize and send technical inquiry,GT-01,Attributable ROBOTIS technical response,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-04,Ingest and hash ROBOTIS responses,GT-02,Immutable evidence records,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-05,Independently disposition identity/technical responses,GT-02/03,Accepted/rejected finding register,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-06,Authorize and send provider-specific metrology inquiries,GT-01,Attributable provider responses,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-07,Ingest and hash provider bids/certificates,GT-09,Immutable evidence records,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-08,Technical bid evaluation by method,GT-10/11/12,Method-specific disposition,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-09,Commercial bid evaluation,GT-13,Selected or no-award decision,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-10,Authorize exact purchase or no-buy,GT-02..07,Signed purchase decision,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-11,Receive and quarantine articles,GT-07,Received configuration record,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-12,Authorize loose metrology only,GT-08..12,Method-specific work order,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-13,Close assembly instruction,GT-15,Signed instruction,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R255-WF-14,Authorize later assembled methods,GT-13..15,Method-specific work order,NONE,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
