layout_id,object_type,reference,x_mm,y_mm,width_mm,height_mm,mounting_basis,release_state,required_evidence,warning
BP-001,usable_backplate,BP1,0,0,431.8,533.4,Hammond 18P2117 nominal catalog dimensions,CANDIDATE ENVELOPE ONLY,"received panel measurement; enclosure fit; qualified layout review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-002,wire_duct,WD1,8,10,40,513.4,Phoenix CD 40X40 candidate,HOLD - CUT LENGTH NOT RELEASED,"fill; segregation; thermal; cover access; received cut inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-003,wire_duct,WD2,383.8,10,40,513.4,Phoenix CD 40X40 candidate,HOLD - CUT LENGTH NOT RELEASED,"fill; segregation; thermal; cover access; received cut inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-004,din_rail,DR1,54,45,323.8,7.5,Phoenix NS 35/7.5 candidate,HOLD - CUT/HOLES NOT RELEASED,"received component widths/depths; rail cut/deburr; fastener and bonding disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-005,component_envelope,SR1,54,55,32,115,Allocated envelope larger than 22.5 mm catalog width,HOLD - RECEIVED FIT REQUIRED,"received dimensions; terminal access; bend radius; service spacing; heat",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-006,component_envelope,SRA1,92,55,32,115,Allocated envelope larger than 22.5 mm catalog width,HOLD - RECEIVED FIT REQUIRED,"received dimensions; terminal access; bend radius; service spacing; heat",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-007,component_envelope,KWD1,130,55,20,105,Conservative allocation around DIN module,HOLD - RECEIVED FIT REQUIRED,"received dimensions; polarity; terminal access; replacement clearance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-008,component_envelope,KWD2,156,55,20,105,Conservative allocation around DIN module,HOLD - RECEIVED FIT REQUIRED,"received dimensions; polarity; terminal access; replacement clearance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-009,component_envelope,K1,184,55,58,115,Conservative allocation around LC1D25BD,HOLD - RECEIVED FIT/APPLICATION REQUIRED,"received dimensions; DC application; terminal/bend access; heat and service clearance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-010,component_envelope,K2,250,55,58,115,Conservative allocation around LC1D25BD,HOLD - RECEIVED FIT/APPLICATION REQUIRED,"received dimensions; DC application; terminal/bend access; heat and service clearance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-011,wire_duct,WD3,54,180,323.8,40,Phoenix CD 40X40 candidate,HOLD - CUT LENGTH NOT RELEASED,"fill; segregation; thermal; cover access; received cut inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-012,pcb_envelope,WDPCB1,54,230,160,100,PCB-P0.5 160 x 100 mm source outline,HOLD - NO PCB FABRICATION OR MOUNT HOLES,"supplier acceptance; received board; exact standoffs; clearance; touch/contamination control",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-013,pcb_envelope,INJ1,224,230,100,60,DXL-STAR-P0.1 100 x 60 mm source outline,HOLD - NO PCB FABRICATION OR MOUNT HOLES,"supplier acceptance; received board; exact standoffs; clearance; power/TTL segregation",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-014,din_rail,DR2,224,309,153.8,7.5,Phoenix NS 35/7.5 candidate,HOLD - CUT/HOLES NOT RELEASED,"received terminal-stack width; end-bracket fit; rail fastener and bonding disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-015,terminal_envelope,XT1,224,318,100,48,6 PT 2.5 plus two CLIPFIX and one end cover,HOLD - RECEIVED FIT/WIRING REQUIRED,"received stack measurement; position labels; finger safety; conductor bend/access",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-016,surface_mount_envelope,F1/F2/F3 BLOCK,54,385,100,130,Blue Sea Systems 5025 catalog body 84.20 x 124.31 mm inside provisional service envelope,HOLD - NO MOUNT HOLES OR FUSE VALUES,"received body and cover sweep; ring-terminal bends; mounting hardware; unused-circuit treatment; coordination; thermal proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-017,din_rail,DR3,170,375,65,7.5,Phoenix NS 35/7.5 candidate,HOLD - CUT/HOLES NOT RELEASED,"received fuse-holder stack; end cover; rail end hardware; terminal and fuse service access",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-018,fuse_terminal_envelope,FSR1/FSR2 HOLDERS + D-ST 4,175,385,25,75,"Two Phoenix Contact PT 4-HESI 5X20 item 3211861 bodies plus one D-ST 4 item 3030420; nominal group width 14.6 mm before access allowance",HOLD - FUSE LINKS AND GROUPING RELEASE OPEN,"received dimensions and open-side orientation; compatible end-cover fit; fuse family/rating; conductor; heat; coordination; qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-019,inline_holder_service_envelope,F0 HOLDER,210,385,30,130,Littelfuse FHAC0002SXJ inline holder requires selected retention and bend arrangement,HOLD - NO RETENTION OR SPLICE RELEASE,"received holder and pigtails; strain relief; 12-to-16 AWG transition; splice; fuse value; heat; service access",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
