screen,inputs,result,authority
R107-A01,old radius 7.5 - (hole radius 8 - hole radius 1.1),0.600000 mm nominal hole/stub overlap,R103 ONE-PIECE GEOMETRY REJECTED
R107-A02,old radius 7.5 - (hole radius 8 - SCB2-8 head radius 1.9),1.400000 mm nominal head/stub overlap,SCREW/DRIVER ACCESS IMPOSSIBLE; SCB2-8 CANDIDATE; ROBOTIS ACCEPTANCE OPEN
R107-A03,new hole radius 8 - head radius 1.9 - pilot radius 5,1.100000 mm nominal C01 pilot/head radial clearance,GEOMETRY SCREEN; SCB2-8 CANDIDATE; TOOL/STACK PROOF OPEN
R107-A04,M4 tap inner edge minus M2 counterbore outer edge,2.350000 mm nominal pattern-to-pattern radial clearance,GEOMETRY SCREEN; POSITION/TOLERANCE/LOCAL STRESS REVIEW OPEN
R107-A05,PCD28 radius - CB4-15 head radius 3.5 - shaft radius 7.5,3.000000 mm nominal C02 head/stub radial clearance,GEOMETRY SCREEN; CB4-15 CANDIDATE; TOOL/STACK PROOF OPEN
R107-A06,stub length 20.00 - insertion 14.95,5.050000 mm nominal exposed stub before hub,CATALOG LAYOUT ONLY; RULAND ACCEPTANCE OPEN
R107-A07,7.9 N m / 8 screws / 8 mm radius,123.437500 N ideal peak tangential load per horn screw,EQUAL-SHARE ARITHMETIC; NO HORN/SCREW/THREAD/SLIP CREDIT
R107-A08,7.9 N m / 4 screws / 14 mm radius,141.071429 N ideal peak tangential load per transfer screw,EQUAL-SHARE ARITHMETIC; PRELOAD/SLIP/THREAD REVIEW OPEN
R107-A09,"16T/(pi*d^3), T=7.9 N m, d=14.987 mm",11.952344 MPa nominal shaft torsional shear,GROSS SOLID-SHAFT SCREEN; FILLET/FATIGUE/FAULT/ALIGNMENT OPEN
R107-A10,"16T/(pi*d^3), T=3.96 N m, d=14.987 mm",5.991301 MPa nominal shaft torsional shear,RULAND RATED ENDPOINT SCREEN; NOT A PROJECT DUTY ALLOWABLE
R107-A11,A08 / (pi x M4 internal thread minor-diameter screen 3.242 x 6 mm),2.308474 MPa simplified uniform internal-thread shear,SIMPLIFIED SCREEN; FASTENER/PRELOAD/ENGAGEMENT/LOCAL STRESS OPEN
R107-A12,C01 CAD volume 9551.258 mm3 x 7820 kg/m3,74.690841 g nominal C01 mass,CAD/DENSITY MASS; RECEIVED MASS OPEN
R107-A13,C02 CAD volume 12904.867 mm3 x 7820 kg/m3,100.916058 g nominal C02 mass,CAD/DENSITY MASS; RECEIVED MASS OPEN
R107-A14,Carpenter typical H1150 yield 869 MPa; project screen 600 MPa,69.044879% of published typical,TYPICAL VALUE IS NOT A MINIMUM OR RELEASED ALLOWABLE
R107-A15,"smooth circular Ø10 pilot without interference, key or accepted friction preload",0 N m positive torque-transfer credit,PILOT IS ALIGNMENT-ONLY; TORQUE REQUIRES ACCEPTED CLAMPED JOINT
R107-A16,P0.2 grip 5.80 - supplied WB M2x3 length 3.00,2.800000 mm nominal shortfall before horn engagement,P0.2 FASTENER STACK REJECTED
R107-A17,SCB2-8 length 8.00 - corrected grip 5.00,3.000000 mm nominal horn engagement,CANDIDATE SCREEN; TOLERANCE/THREAD/PROTRUSION/ROBOTIS ACCEPTANCE OPEN
R107-A18,CB4-15 length 15.00 - C02 grip 8.00,7.000000 mm nominal C01 engagement,CANDIDATE SCREEN; TOLERANCE/THREAD/PRELOAD/LOCKING OPEN
R107-A19,hub gap 5.05 - CB4 head height 4.00,1.050000 mm nominal axial head/hub clearance,ASSEMBLE M4 BEFORE HUB; REMOVE HUB BEFORE M4 SERVICE; PHYSICAL PROOF OPEN
