hold_id,hold,state,execution,release_effect,warning
R277-H01,"Current converter quote binds Rogers 2300327, 3M 467MP, PET-side lamination, 40 x 12 mm R1.5 coupons, tolerances, lot traceability and CoC",OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H02,3M/Rogers or qualified materials reviewer accepts the aluminum-467MP-PET/PORON application and surface-preparation process,OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H03,Received laminated-stack thickness is mapped with a qualified low-force method and dependent pocket depth is released lot-by-lot,OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H04,Machine supplier accepts R2 pocket DFM and reports as-built plan/depth/finish without using 0.520 mm as production depth,OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H05,"Installed protrusion candidate band 0.100..0.200 mm is accepted against stopping, guard, pinch and contact requirements",OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H06,"First article passes pocket, protrusion, retention and continuous metal-backup inspections",OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H07,"Pad-absent, one-pad, bottom-out, rebound, migration and jam fault tests pass defined limits",OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H08,"Dynamic force-stroke, current/torque decay, stopping time/angle and energy integration pass at accepted approach/fault speeds",OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H09,P0.13 C06/C07 full joined load path and local pocket/contact stresses pass qualified nonlinear analysis and physical correlation,OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R277-H10,"Qualified release and separate procurement, machining, assembly and powered-work authorizations are signed",OPEN,NOT EXECUTED,BLOCKS PAD-POCKET SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
