occ_face_tag_diagnostic_only,face_signature_sha256,geometry_type,bbox_mm_json,exact_occ_area_mm2,mapped_quadratic_facets,mesh_quadratic_area_mm2,absolute_area_error_mm2,relative_area_error,maximum_six_node_deviation_mm,maximum_q8_surface_deviation_mm,rms_q8_surface_deviation_mm,area_within_0p25_percent,surface_deviation_within_0p005_mm,warning
1,db5038e41da5ad3d6fe2ab636cb02b96b43148d6695200e3f00d0034e186be8b,Plane,"[-52.0000001,-1e-07,-20.0000001,52.0000001,9.5250001,-19.9999999]",933.6,707,933.6,0.0,0.0,0.0,7.105427357601002e-15,3.2023728339893768e-15,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,24325ea39b4d33351f5b7f3406a765143b5e902c638d3b7f4e8403de46c5f238,Plane,"[-23.5000001,9.5249999,-20.0000001,23.5000001,9.5250001,20.0000001]",1808.957762469,3811,1808.9618553398832,0.004092870883141586,2.2625574615713147e-06,0.0,1.7763568394002505e-15,1.0877919644084146e-15,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,5b731c07d0c0f1dd39cc83d7e58f389bb804a08d55faa18ec0c278b0d27a1f8e,Plane,"[23.4999999,8.5249999,-20.0000001,23.5000001,9.5250001,19.322875756]",39.322875656,45,39.32287565553199,4.680131837631052e-10,1.1901804635483071e-11,0.0,7.105427357601002e-15,2.808666774861361e-15,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,8e5a327a0a941105977da52cb20c1aa715857ae739e819cbbdaacd51088173ec,Plane,"[23.4999999,8.5249999,-20.0000001,54.0000001,8.5250001,22.0000001]",461.068533793,583,461.06655996524546,0.0019738277545116034,4.280985601584704e-06,0.0,1.7763568394002505e-15,1.2560739669470201e-15,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,278dcd43d06039e70ac75ba65af56c278f0a084d88d40c191398b3a83c7a14e3,Cylinder,"[51.9999999,-1e-07,-20.0000001,54.0000001,8.5250001,-17.9999999]",26.782077372,25,26.773869618619564,0.00820775338043589,0.00030646440402778063,3.552713678800501e-15,0.003144640200598058,0.0007095644226831014,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,924b01d0acf2479f85b10f7939b50f2d5409b9dac6e20e5a7e59baec2593b999,Plane,"[-54.0000001,-1e-07,-20.0000001,54.0000001,1e-07,22.0000001]",1474.978725037,4687,1475.0097900879127,0.03106505091272993,2.1061355249005818e-05,4.440892098501e-16,4.883261438520536e-16,8.545777337486431e-17,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,93bc7cbb21a2f4ab8769973d833cae5a025070e9b618779f2a36ac65ceaec85d,Cylinder,"[-54.0000001,-1e-07,-20.0000001,-51.9999999,8.5250001,-17.9999999]",26.782077372,25,26.77383541470934,0.008241957290660906,0.0003077415234143737,3.552713678800501e-15,0.003178734912237692,0.0007130965065067674,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,daa9e9c441963274af073925c0505bc3ce0d55347f1181ecb670c3ec1302f734,Plane,"[-54.0000001,8.5249999,-20.0000001,-23.4999999,8.5250001,22.0000001]",461.068533793,299,461.07343040442026,0.004896611420292629,1.0620137921819227e-05,0.0,1.7763568394002505e-15,1.2560739669470201e-15,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,508d5d86875b731152f901a1db3a948bd59cfd507b7233cce1ab5ddbc83b13d5,Plane,"[-23.5000001,8.5249999,-20.0000001,-23.4999999,9.5250001,19.322875756]",39.322875656,45,39.322875655532,4.6799897290839e-10,1.190144324648295e-11,0.0,7.105427357601002e-15,2.808666774861361e-15,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,9eb5d0afc030554b9f0620684cb01bb79ed7120fc922824aa82d905badc7631a,Cylinder,"[-24.0000001,-1e-07,17.9999999,-21.9999999,9.5250001,20.0000001]",28.47820153,316,28.47814991501869,5.161498130945574e-05,1.8124382347348233e-06,1.9885678126963356e-13,1.798233331968494e-05,4.650966548232257e-06,True,True,"PRELIMINARY - TARGETED B-REP FIDELITY REMESH EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
