acceptance_id,topic,pass_basis,evidence_uri,result,approver,approval_date,warning
CUR-A-001,official source identity,current official ROBOTIS/JST/Littelfuse records independently accepted,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-002,received cable identity,"construction, pin orientation, continuity and retention accepted",,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-003,raw-to-external mapping,synchronized raw Present Current and calibrated external branch current characterized,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-004,operating peak/RMS,every accepted duty stays below a qualified connector/conductor limit with stated margin,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-005,thermal,"connector, cable, board and actuator temperatures pass accepted stabilized limits",,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-006,voltage drop,branch minimum voltage and drop pass accepted limits,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-007,protection,exact F1-F3 links/holders/terminals clear accepted faults before damage without nuisance opening,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-008,regeneration/no-backfeed,all released reversal and power-sequence cases pass,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-009,Current Limit invariant,source and received-HIL drift injection force torque-off,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-010,Goal Current invariant,source and received-HIL drift injection force torque-off,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-011,duty definition,"profiles, accelerations, loads, dwell, ambient and bundling are frozen",,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-012,DXL integrity,waveform/error rate and watchdog timing pass with the measured harness,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-013,qualified review,"electrical, controls and mechanical reviewers sign the configuration-bound evidence",,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-A-014,work authorization,"separate written authorization names exact hardware, fixture, people and limits",,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
