test_id,stage,scope,measurement,fixture_boundary,state,warning
CUR-Q-001,unpowered,All harnesses,"identity, polarity, cavity population, contact retention and continuity",received cables and custom controller cable,INSPECTION ONLY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-002,source-only,GST280A12-C6P path,source load/current-limit/foldback and bus rise,programmable electronic load; no actuator,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-003,torque off,each branch,idle/inrush/current-sensor zero and DXL integrity,one received actuator at a time,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-004,staged load,J1,raw 200/400/600/800 external peak/RMS and temperature,guarded load fixture; abort boundary SELECTION REQUIRED below 3 A,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-005,staged load,J2,raw 200/400/600/800 external peak/RMS and temperature,guarded load fixture; abort boundary SELECTION REQUIRED below 3 A,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-006,representative duty,GRIPPER,"raw 300 external peak/RMS, grip cycle and temperature",guarded gripper fixture,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-007,thermal dwell,J1/J2/G1,connector/cable/board stabilization at accepted duty and worst ambient/bundle,duration and temperature limits SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-008,reversal,J1/J2,"regeneration, bus rise, no-backfeed and source response",guarded low-energy reversal first,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-009,simultaneous duty,J1+J2+G1,"summed current, voltage sag, errors and temperature",only after individual branches pass,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-010,fault fixture,F1/F2/F3,ampere-specific fuse clearing before damage,separate controlled non-robot fixture; no direct uncontrolled short,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CUR-Q-011,HIL fault injection,current registers,Current Limit/Goal Current drift forces torque-off and requires fresh authority,received actuator packet trace plus external current/timing,SOURCE TEST PASS; PHYSICAL HIL NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
