hold_id,description,state,closure_evidence,warning
DXL-CUR-HOLD-001,official source identity,OPEN,current official ROBOTIS/JST/Littelfuse records independently accepted,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-002,received cable identity,OPEN,"construction, pin orientation, continuity and retention accepted","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-003,raw-to-external mapping,OPEN,synchronized raw Present Current and calibrated external branch current characterized,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-004,operating peak/RMS,OPEN,every accepted duty stays below a qualified connector/conductor limit with stated margin,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-005,thermal,OPEN,"connector, cable, board and actuator temperatures pass accepted stabilized limits","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-006,voltage drop,OPEN,branch minimum voltage and drop pass accepted limits,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-007,protection,OPEN,exact F1-F3 links/holders/terminals clear accepted faults before damage without nuisance opening,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-008,regeneration/no-backfeed,OPEN,all released reversal and power-sequence cases pass,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-009,Current Limit invariant,OPEN,source and received-HIL drift injection force torque-off,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-010,Goal Current invariant,OPEN,source and received-HIL drift injection force torque-off,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-011,duty definition,OPEN,"profiles, accelerations, loads, dwell, ambient and bundling are frozen","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-012,DXL integrity,OPEN,waveform/error rate and watchdog timing pass with the measured harness,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-013,qualified review,OPEN,"electrical, controls and mechanical reviewers sign the configuration-bound evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-CUR-HOLD-014,work authorization,OPEN,"separate written authorization names exact hardware, fixture, people and limits","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
