budget_id,method_id,contributor,numeric_input,distribution,divisor,sensitivity,standard_uncertainty,state,warning
JSM2-M01-U01,JSM2-M01,instrument calibration,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM2-M01-U02,JSM2-M01,resolution and quantization,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM2-M01-U03,JSM2-M01,repeatability,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM2-M01-U04,JSM2-M01,fixture reseat or support,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM2-M01-U05,JSM2-M01,datum or axis realization,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM2-M01-U06,JSM2-M01,environment and temperature,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM2-M01-U07,JSM2-M01,"probe, scan or model fit",,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM2-M01-U08,JSM2-M01,operator and processing,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM2-M02-U01,JSM2-M02,instrument calibration,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JSM2-M02-U02,JSM2-M02,resolution and quantization,,,,,,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
