hold_id,hold,state,closure_evidence,release_effect,warning
R273-H01,Qualified reviewer accepts the exact contact-normal and J2 effective-arm extraction,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H02,Converged nonlinear one-rail and two-rail C06/C07 contact/root/interface analysis is accepted,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H03,"Worst-tolerance first-contact, rail sharing, edge contact and single-rail fault cases are accepted",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H04,As-built moving inertia including reflected rotor inertia is measured and accepted,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H05,Maximum approach and fault-overspeed values are configuration-bound and physically verified,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H06,Motor current and torque decay after contact are measured and included in the energy balance,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H07,"Bumper force-stroke, hysteresis, bottom-out, rebound, temperature, aging and retention are validated",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H08,"C06/C07 drawings, tolerance controls, DFM and first articles are accepted",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H09,Material lot MTR and finished minimum thickness are verified,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H10,"Fastener, frame, extrusion, prying, deflection, overtravel and fatigue load paths are accepted",OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H11,Single-rail and twin-rail physical proof and stopping tests pass qualified limits,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H12,Configuration-bound qualified release and separate work authority are signed,OPEN,NOT EXECUTED,BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H13,"Select currently purchasable exact A04 screw, washer, prevailing-torque nut and straight 2 mm installation tool with certificates and complete tolerances",OPEN,"accepted supplier quote/datasheets, received identities, certificates and dimensional inspection",BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H14,"Develop A04 tightening, anti-galling, locking, witness-mark, reuse and proof procedure against the exact received stack",OPEN,"qualified bolted-joint calculation, calibrated installation trials, prevailing-torque/preload evidence and physical proof",BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H15,"Validate access-well tool reach, head seating, chip/deburr control, inner-web ligament and no-contact hardware envelope on received C07/S102/XM540",OPEN,"FAI, borescope/photos, gauges, dry-fit record and accepted tolerance analysis",BLOCKS P0.12 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
