fault_id,injected_condition,required_response,measured_response,pass_fail,evidence_path,state,authority,warning
F01,open E-stop channel A,both actuator-energy contactors open; reset cannot restore without corrected channel,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F02,open E-stop channel B,same fail-safe interruption as channel A,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F03,cross-channel discrepancy,permit withheld and diagnostic latched,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F04,E-stop release without manual reset,no contactor closure and no motion request,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F05,held or bypassed reset,monitored-start logic refuses permit,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F06,welded/stuck primary contactor simulation,mirror/EDM prevents restart and second contactor interrupts,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F07,welded/stuck secondary contactor simulation,mirror/EDM prevents restart and first contactor interrupts,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F08,watchdog heartbeat removed,permit drops within selected measured limit,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F09,watchdog output stuck/bypassed,independent safety chain still interrupts energy; fault detected before restart,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F10,motion controller reset/brownout,all 25 torque bits and eight bus transmit paths remain inactive; contactor permit remains external/absent after reboot,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F11,loss of communications or agent process,deterministic local layer requests safe stop; no autonomous retry to motion,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
F12,unexpected adjacent-branch voltage/backfeed,source removed and configuration quarantined,NONE,NOT EXECUTED,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
