fact_id,source_id,subject,observed_fact,interpretation_boundary,warning
LAF-001,LAS-001,product title,DYNAMIXEL XM540-W270-T,Does not override contradictory package-content text,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-002,LAS-001,SKU,902-0137-000,SKU-to-variant shipment identity requires seller confirmation,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-003,LAS-001,visible price,$482.89 each,"Excludes shipping, tax, fees and allocation","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-004,LAS-001,communication,Page states TTL,Received label and later model readback remain required,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-005,LAS-001,package contents,Package table names XM540-W270-R,Contradicts title/TTL request; no inference permitted,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-006,LAS-001,stock,Current Stock field rendered without a numeric value,Blank is neither in-stock nor zero-stock evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-007,LAS-002,H101 identity and price,SKU 903-0270-300; $76.71 each,"Shipping, tax, fees and allocation excluded","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-008,LAS-002,H101 compatibility,Hinge frame and idler set for X540 series,Received fit and temporary-assembly method remain unverified,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-009,LAS-002,H101 stock,Current Stock field rendered without a numeric value,Blank is neither in-stock nor zero-stock evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-010,LAS-003,S102 identity and price,SKU 903-0269-300; $31.51 each,"Shipping, tax, fees and allocation excluded","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-011,LAS-003,S102 stock,Current Stock 94 displayed,Access-time page value does not reserve two units,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-012,LAS-003,S102 compatibility,Bottom side frame set for X540 series,Received fit and temporary-assembly method remain unverified,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAF-013,LAS-004,assembly precaution,Align thrust washer/index; use idler and spacer rings; verify screw length against mounting depth,No Project Button temporary torque or assembly authorization is established,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
