page,title,paper,p119_visual_result,p121_svg,p121_sha256,layout_basis,p121_visual_disposition,independent_review,qualified_electrical_review,warning
0,Index,A4,PASS,electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate.svg,882D48A8D0540EFEE7B3901A0999259FC4B25F953D28EF30A905D7DF58BEF866,P1.19 generator inherited transitively through P1.20 into P1.21,INHERITED_LAYOUT_SOURCE_CHECKED,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1,External sources and DC boundaries,A2,PASS,electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate-01 External listed sources and DC boundaries.svg,7BB18A8081AD43A58C22ECED7DDB2330535B0632B2FB91CE7D29295C013A88FF,P1.19 generator inherited transitively through P1.20 into P1.21,INHERITED_LAYOUT_SOURCE_CHECKED,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,E-stop and RESET eligibility,A2,PASS,electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate-02 Dual-channel E-stop and RESET eligibility.svg,0901A1101FE57CDF8EA53EF884F57AEE41C87836AEB6DE836BC90210D7DAB5D6,P1.19 generator inherited transitively through P1.20 into P1.21,PROJECT_REVIEW_REQUIRED_AFTER_LOGIC_CHANGE,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,ARM and watchdog gate,A2,PASS,electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate-03 Distinct ARM and SRA1 diagnostic supply gate.svg,76022230BD9280C18CD62A250453A7E1F308C9E5C6E244AF55DF793DF378A50F,P1.19 generator inherited transitively through P1.20 into P1.21,PROJECT_REVIEW_REQUIRED_AFTER_LOGIC_CHANGE,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,Contactor coils and EDM,A3,PASS,"electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate-04 Contactor coils, mirror contacts and EDM.svg",B7271D3A539AEC747AFEEF799CBAB9077AFD762B89326C6CD22523FC32E563CE,P1.19 generator inherited transitively through P1.20 into P1.21,INHERITED_LAYOUT_SOURCE_CHECKED,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,Actuator-power interruption,A3,PASS,electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate-05 Redundant actuator-power interruption.svg,DF9ED53644E5EA6EA54A6B4AF69937D406893305EB217097E4258AD57F61AD9C,P1.19 generator inherited transitively through P1.20 into P1.21,INHERITED_LAYOUT_SOURCE_CHECKED,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,Protected branches,A3,PASS,electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate-06 Protected actuator branches and current-limiter carriers.svg,D90CFE60DF5FFBD71821760B5526F26E5BC046B644FB6CCF5312743E9CB7A931,P1.19 generator inherited transitively through P1.20 into P1.21,INHERITED_LAYOUT_SOURCE_CHECKED,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,Watchdog controller and drivers,A2,PASS,"electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate-07 Independent watchdog power, controller and drivers.svg",07688B08E4B0A450234FA50F37F38246BC253CA088030E5DF5CEEDAE891F92AF,P1.19 generator inherited transitively through P1.20 into P1.21,INHERITED_LAYOUT_SOURCE_CHECKED,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,Watchdog feedback,A3,PASS,electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate-08 Calculated dual-channel 24 V watchdog feedback.svg,FF4F10CE3DBA50ADD01A367150F6DA159B7902E524C7FE8855783D20AEFCABF2,P1.19 generator inherited transitively through P1.20 into P1.21,INHERITED_LAYOUT_SOURCE_CHECKED,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,Compute and control terminals,A3,PASS,electrical/kicad/project-button-v3-p1.21-sra1-supply-watchdog-candidate/output/project-button-v3-p1.21-sra1-supply-watchdog-candidate-09 Compute and control terminals.svg,BCD102B0944DF108DB61714487EDF5624C97AC50862AB0AF539FD3422CB16CF8,P1.19 generator inherited transitively through P1.20 into P1.21,INHERITED_LAYOUT_SOURCE_CHECKED,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
