acceptance_id,topic,evidence_uri,result,approver,date
PROT-A-001,independent acceptance of current primary-source identity,,NOT EXECUTED,,
PROT-A-002,"exact passive order codes, voltage coefficients, temperature coefficients and derating",,NOT EXECUTED,,
PROT-A-003,"exact TI RPW land pattern, paste, assembly process and inspection acceptance",,NOT EXECUTED,,
PROT-A-004,"PCB stackup, copper, thermal vias, trace widths, clearances and enclosure airflow",,NOT EXECUTED,,
PROT-A-005,"exact terminal, harness, conductor, crimp, strain-relief and retention selection",,NOT EXECUTED,,
PROT-A-006,forward threshold/overshoot/foldback/short-circuit physical evidence,,NOT EXECUTED,,
PROT-A-007,reverse-current magnitude and duration physical evidence,,NOT EXECUTED,,
PROT-A-008,"Pololu shunt pulse-energy, duration, cooling, simultaneous-axis and failure evidence",,NOT EXECUTED,,
PROT-A-009,GST280A12-C6P nuisance margin and regeneration interaction,,NOT EXECUTED,,
PROT-A-010,K1/K2 opening and bus-decay interaction,,NOT EXECUTED,,
PROT-A-011,"received actuator startup, duty, torque and performance adequacy",,NOT EXECUTED,,
PROT-A-012,"JST EH connector/cable temperature, voltage drop and retention",,NOT EXECUTED,,
PROT-A-013,F0/F1-F3 exact fuse and fault-clearing coordination,,NOT EXECUTED,,
PROT-A-014,"DXL waveform, error-rate, EMC and watchdog timing",,NOT EXECUTED,,
PROT-A-015,main V3 and DXL-STAR native source integration if candidate is accepted,,NOT EXECUTED,,
PROT-A-016,received HIL fault injection,,NOT EXECUTED,,
PROT-A-017,qualified electrical/controls/mechanical review and independent acceptance,,NOT EXECUTED,,
PROT-A-018,separate written procurement/fabrication/assembly/connection/motion/energization authorization,,NOT EXECUTED,,
