file,sha256,size_bytes
acceptance-matrix.csv,BE0BF59E31E27675A32F2EC2B27E2B9AB5B28F54F321A4EB5CEE9F322917DD16,1771
calculation-register.csv,048E854DFB84E863F8DFC876BD5ADFB24749A4CF9BE7AF15E19B258B6FDE9238,1376
candidate-decision-register.csv,E21BC5808D4E215EA8A4D59DBC936B19FD7082BB2029737A91D8A566EA5152EE,1240
index.html,B8F3A5CC998BD0A62027F37E65583F396C5FC3847CFB92117A573E51F7D77569,7806
package-status.json,FE96472AC20554E2873ECB8FCB03B8B4F42DC39257D33BD8F48CFB072CBCC1C2,670
primary-source-register.csv,721E578B26E470B62A26B26D1567E42EA41982DB0C84B8EC1AAC0FA4C4739B0E,1488
README.md,3D01FD51B01B16AC5764B161A9C971BACDF692712E07ACD6DB848FDB1987B437,559
residual-holds.csv,AE0D511B451C24B759F18FCD277428C00E1BF16A256582763DCBFB81867F5A2D,3497
system-interface-map.csv,0C948109D495C7DEACC9F2851F241359B89AA986EFEEC3795A93B3DE855E70F4,829
test-data-template.csv,17112FDCB4572D1F9FF31C9B16CD6CA6057E4A1A3C8E365D75DA1370FCBCBFCD,524
test-plan.csv,9F39968E712BB3325859FACE28E04FDB83CB7288702430606A7C23C8D70949D5,2316
