hold_id,description,state,warning
PROT-HOLD-001,independent acceptance of current primary-source identity,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-002,"exact passive order codes, voltage coefficients, temperature coefficients and derating",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-003,"exact TI RPW land pattern, paste, assembly process and inspection acceptance",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-004,"PCB stackup, copper, thermal vias, trace widths, clearances and enclosure airflow",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-005,"exact terminal, harness, conductor, crimp, strain-relief and retention selection",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-006,forward threshold/overshoot/foldback/short-circuit physical evidence,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-007,reverse-current magnitude and duration physical evidence,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-008,"Pololu shunt pulse-energy, duration, cooling, simultaneous-axis and failure evidence",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-009,GST280A12-C6P nuisance margin and regeneration interaction,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-010,K1/K2 opening and bus-decay interaction,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-011,"received actuator startup, duty, torque and performance adequacy",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-012,"JST EH connector/cable temperature, voltage drop and retention",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-013,F0/F1-F3 exact fuse and fault-clearing coordination,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-014,"DXL waveform, error-rate, EMC and watchdog timing",OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-015,main V3 and DXL-STAR native source integration if candidate is accepted,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-016,received HIL fault injection,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-017,qualified electrical/controls/mechanical review and independent acceptance,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
PROT-HOLD-018,separate written procurement/fabrication/assembly/connection/motion/energization authorization,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
