source_path,sha256,role,exists,warning
bom/hr-v0-mechanical-custom-part-binding-p0.2.csv,429779d55434849055a219e4a1ea0d02d19346d7b1461ca00f8692e5afe9d13e,current custom-part manufacturing identity,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/mechanical-drawing-p0.1/source-binding.csv,09d8c5500fce2321823589f5d81cad7818972c3f8d7736902b90dfb5412d1bfe,drawing/DXF/STEP binding,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/mechanical-drawing-p0.1/drawing-control-coverage.csv,6e749e978a8c8966d70b72fd01aa8515ab332954966de80e90b8a17edfb7fc46,26 drawing-explicit controls,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/mechanical-drawing-p0.1/first-article-drawing-map.csv,0b88156a81f52dcecbf1f9d66eaff03b2dfe8c52a2a2ccdb8239e62f4b20b7b6,30 FAI operations,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/mechanical-drawing-p0.1/inspection-coordinate-register.csv,2d7a007f3f31c4c2d42dcd3bb375513736539c23df97924ab821f5ac478ccfd9,ICF-01 inspection registration,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/mechanical-dfm-data-p0.1/dfm-question-register.csv,8130ec48b4d63120b81991dd530283f2dce472c7bb8c1a4b0d4b67c961a4582b,provider DFM questions,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
release/hr-v0/mechanical-bom-binding-p0.2/open-holds.csv,05e80e1cedcfa89e74c6457ff6d49434c2824e007013b02b42f7c181250b97e2,current mechanical hold set,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
cad/hr-v0/generated/arm-architecture-p0.8-dwg-integrated/interface-schedule.csv,98635831a6eadea47cccd5d4227340516dcf59cd8c4a33ee5cdcd26980713ed4,current integrated arm interfaces,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
cad/hr-v0/generated/arm-architecture-p0.8-dwg-integrated/fastener-candidate-schedule.csv,3cffdf0660d0d81c706c68d97c6202ebf6e12a94769943d49cb449fd40338a51,current fastener candidates,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
cad/hr-v0/generated/arm-architecture-p0.8-dwg-integrated/controlled-custom-part-integration.csv,b440258b79555f2759c756f910f76cac4e841916b0b4e741a55969d37509dd45,exact P0.8 assembly consumption,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
