check_id,domain,review_question,state,finding_reference,reviewer,evidence,release_effect,warning
MR-01,configuration,Confirm commit and package identifier; independently recompute every listed SHA-256.,NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-02,authority,"Confirm the package grants review only and contains no provider, quote, purchase, fabrication, assembly, connection, motion, or energization authority.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-03,drawing,"Review all five drawings for complete, legible dimensions, units, finish, material, tolerances, inspection methods, and non-scaling instruction.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-04,GD&T,"Accept, revise, or reject ICF-01; define a released datum reference frame if required.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-05,geometry,"Compare each STEP, DXF, and drawing as a co-controlled set; report every mismatch.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-06,interfaces,Review A00 through A07 and HS-J2-POS against the full P0.8 arm assembly and vendor interfaces.,NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-07,fasteners,"Review candidate order codes, stack lengths, protrusion/engagement, tool access, head seating, locking, reuse, and anti-galling controls.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-08,material,"Disposition alloy/temper, applicable material specification edition, certificate/MTR, stock thickness, grain/flatness, and substitution prohibition.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-09,process,"Disposition one-stop 3-axis CNC route, workholding, datum transfer, countersinks, rail/step features, deburr, and no-coating requirement.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-10,inspection,"Review all 26 controls, 30 FAI operations, instrument capability, calibration, uncertainty, raw-data retention, and segregation.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-11,fit,"Define received mating-article dry-fit evidence without filing, slotting, bending, best-fit shift, or forced alignment.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-12,loads,"Review static, stop, joint-slip, preload, prying, fatigue, and proof-load cases; identify missing allowables or calculations.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-13,mass,"Define measured mass, center-of-mass, and inertia closure for every received moving item.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-14,stop,"Review J2 striker/catch/bumper, contact patch, local stress, impact, life, backlash, compliance, and overtravel evidence plan.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-15,integration,"Review complete-arm tool, cable, guard, service, deformation, and collision clearances.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-16,manufacturing,Review every DFM question and require provider response against exact hashes with all exceptions listed.,NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-17,nonconformance,"Define deviation/NCR control, segregation, rework prohibition, concession authority, and supersession behavior.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MR-18,disposition,"Record PASS, PASS WITH REQUIRED REVISION, or FAIL for each item; name reviewer, competence basis, date, exact commit, and signature evidence.",NOT REVIEWED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
