question_id,question,response,exception_or_substitution,provider_name,responder,response_date,bound_file_hashes,internal_disposition,commercial_action_authorized,warning
DFM-Q01,"Bind every response to exact STEP, DXF, drawing, revision, units and SHA-256 values without silent geometry or datum changes.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q02,"Confirm 6061-T651, nominal 9.525 mm stock, 9.00..10.00 mm finished thickness, one heat lot and an MTR; list any substitute separately.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q03,"State whether every drawing control can be held instead of portal defaults, including feature locations, flatness, parallelism and edge break.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q04,"Define the first-article report, instruments, calibration identity, pin-gauge results, five-point thickness map and coordinate results.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q05,"For C01/C04/C06/C07, accept 11.30 +0.10/-0.00 mm 90-degree countersinks, >=5.80 mm residual and the received-head functional gauge.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q06,"For C04, control all four asymmetric H104 coordinates independently with no slotting or best-fit shift.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q07,"For C05, state the setup or datum-transfer method preserving the S102-to-column relative location.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q08,"For C06, state the workholding, datum-transfer and CMM method for both +/-0.025 mm rail datums.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q09,"For C07, demonstrate the 1.000 +/-0.05 mm step and <=0.03 mm rail coplanarity with a retained surface map.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q10,"List every DFM exception, automatic radius/edge addition, substitution, tolerance relaxation, finish change and subcontracted operation.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q11,Keep each distinct first article segregated from further work pending written acceptance with material and inspection traceability.,NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DFM-Q12,"Acknowledge that capability or DFM feedback is not authorization to quote, order or fabricate.",NOT SENT / NO RESPONSE,NONE RECORDED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
