transition_id,axis_id,quantity,location_basis,dynamic_cable,dynamic_housing,dynamic_terminal,fixed_panel_housing,fixed_terminal,fixed_pigtail,actuator_end,polarity,load_isolation,pigtail_length_mm,candidate_state,execution_state,authority,warning
TR-WAIST_YAW,WAIST_YAW,1,FIXED SIDE OF LOOP-WAIST_YAW-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-HEAD_PAN,HEAD_PAN,1,FIXED SIDE OF LOOP-HEAD_PAN-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-HEAD_TILT,HEAD_TILT,1,FIXED SIDE OF LOOP-HEAD_TILT-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_SHOULDER_PITCH,L_SHOULDER_PITCH,1,FIXED SIDE OF LOOP-L_SHOULDER_PITCH-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_SHOULDER_ROLL,L_SHOULDER_ROLL,1,FIXED SIDE OF LOOP-L_SHOULDER_ROLL-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_ELBOW_PITCH,L_ELBOW_PITCH,1,FIXED SIDE OF LOOP-L_ELBOW_PITCH-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_WRIST_ROTATION,L_WRIST_ROTATION,1,FIXED SIDE OF LOOP-L_WRIST_ROTATION-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_GRIPPER,L_GRIPPER,1,FIXED SIDE OF LOOP-L_GRIPPER-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_HIP_YAW,L_HIP_YAW,1,FIXED SIDE OF LOOP-L_HIP_YAW-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_HIP_ROLL,L_HIP_ROLL,1,FIXED SIDE OF LOOP-L_HIP_ROLL-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_HIP_PITCH,L_HIP_PITCH,1,FIXED SIDE OF LOOP-L_HIP_PITCH-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_KNEE_PITCH,L_KNEE_PITCH,1,FIXED SIDE OF LOOP-L_KNEE_PITCH-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_ANKLE_PITCH,L_ANKLE_PITCH,1,FIXED SIDE OF LOOP-L_ANKLE_PITCH-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-L_ANKLE_ROLL,L_ANKLE_ROLL,1,FIXED SIDE OF LOOP-L_ANKLE_ROLL-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-R_SHOULDER_PITCH,R_SHOULDER_PITCH,1,FIXED SIDE OF LOOP-R_SHOULDER_PITCH-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-R_SHOULDER_ROLL,R_SHOULDER_ROLL,1,FIXED SIDE OF LOOP-R_SHOULDER_ROLL-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-R_ELBOW_PITCH,R_ELBOW_PITCH,1,FIXED SIDE OF LOOP-R_ELBOW_PITCH-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-R_WRIST_ROTATION,R_WRIST_ROTATION,1,FIXED SIDE OF LOOP-R_WRIST_ROTATION-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-R_GRIPPER,R_GRIPPER,1,FIXED SIDE OF LOOP-R_GRIPPER-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-R_HIP_YAW,R_HIP_YAW,1,FIXED SIDE OF LOOP-R_HIP_YAW-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
TR-R_HIP_ROLL,R_HIP_ROLL,1,FIXED SIDE OF LOOP-R_HIP_ROLL-PWR; EXACT XYZ/BRACKET SELECTION REQUIRED,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,Molex 430250200,Molex 430300001; 2 required,Molex 430200200,Molex 430310001; 2 required,2 x Alpha Wire 3051 22 AWG; red/black or accepted keyed color code,JST EHR-3 or EHR-4 with SEH-001T-P0.6 power contacts by actuator protocol,CONTACT 1 RETURN; CONTACT 2 VDD; 100% KEYING/POLARITY/CONTINUITY TEST REQUIRED,PANEL-MOUNT TRANSITION PLUS PIGTAIL CLAMP MUST ISOLATE JST EH FROM JOINT FLEX AND CONNECTOR MASS,SELECTION REQUIRED FROM MODULE CAD; NO PRODUCTION CUT LENGTH RELEASED,"COHERENT INLINE-TRANSITION CANDIDATE; RECEIVED FIT, CRIMP, BRACKET, DERATING AND DYNAMIC TESTS OPEN",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
