axis_id,bus_id,actuator_model,destination_connector,positive_net,return_net,candidate_internal_limit_a,published_stall_endpoint_a,stall_is_normal_demand,one_way_planning_length_mm,round_trip_planning_length_mm,power_pair_test_coupon_candidate,candidate_conductor_mm2,manufacturer_max_conductor_resistance_20c_ohm_per_km,jst_eh_published_conductor_range,wire_contact_geometric_compatibility,connector_current_evidence,loop_resistance_20c_planning_ohm,voltage_drop_20c_at_candidate_cap_v,conductor_loss_20c_at_candidate_cap_w,calculation_boundary,current_capacity_disposition,dynamic_route_disposition,branch_protection,cut_length_and_service_slack,selection_state,execution_state,authority,warning
WAIST_YAW,RS-WAIST,ROBOTIS XM540-W270-R,J-ACT-WAIST_YAW,WAIST_YAW_VDD,RS-WAIST_RET,2.499010,4.400,NO,74.615,149.231,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.011789,0.029461,0.073624,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HEAD_PAN,TTL-HEAD,ROBOTIS XC330-T288-T,J-ACT-HEAD_PAN,HEAD_PAN_VDD,TTL-HEAD_RET,0.700000,0.880,NO,73.277,146.554,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.011578,0.008104,0.005673,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HEAD_TILT,TTL-HEAD,ROBOTIS XC330-T288-T,J-ACT-HEAD_TILT,HEAD_TILT_VDD,TTL-HEAD_RET,0.700000,0.880,NO,107.310,214.619,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.016955,0.011868,0.008308,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_SHOULDER_PITCH,RS-LARM,ROBOTIS XM430-W350-R,J-ACT-L_SHOULDER_PITCH,L_SHOULDER_PITCH_VDD,RS-LARM_RET,1.998670,2.300,NO,171.962,343.924,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.027170,0.054304,0.108535,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_SHOULDER_ROLL,RS-LARM,ROBOTIS XM430-W350-R,J-ACT-L_SHOULDER_ROLL,L_SHOULDER_ROLL_VDD,RS-LARM_RET,1.998670,2.300,NO,171.962,343.924,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.027170,0.054304,0.108535,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_ELBOW_PITCH,RS-LARM,ROBOTIS XM430-W350-R,J-ACT-L_ELBOW_PITCH,L_ELBOW_PITCH_VDD,RS-LARM_RET,1.998670,2.300,NO,164.828,329.656,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.026043,0.052051,0.104033,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_WRIST_ROTATION,TTL-LDIST,ROBOTIS XC330-T288-T,J-ACT-L_WRIST_ROTATION,L_WRIST_ROTATION_VDD,TTL-LDIST_RET,0.700000,0.880,NO,373.184,746.368,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.058963,0.041274,0.028892,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_GRIPPER,TTL-LDIST,ROBOTIS XC330-T288-T,J-ACT-L_GRIPPER,L_GRIPPER_VDD,TTL-LDIST_RET,0.700000,0.880,NO,413.052,826.103,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.065262,0.045683,0.031978,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_HIP_YAW,RS-LLEG,ROBOTIS XH540-W270-R,J-ACT-L_HIP_YAW,L_HIP_YAW_VDD,RS-LLEG_RET,2.499010,4.900,NO,145.546,291.091,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.022996,0.057468,0.143612,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_HIP_ROLL,RS-LLEG,ROBOTIS XH540-W270-R,J-ACT-L_HIP_ROLL,L_HIP_ROLL_VDD,RS-LLEG_RET,2.499010,4.900,NO,125.862,251.724,igus CF9.UL.02.02; 2 x 0.25 mm2 / 24 AWG,0.250,79.000,AWG30-22; maximum 0.33 mm2 for SEH-001T-P0.6,CANDIDATE PASS - 0.25 mm2 IS WITHIN JST 0.032-0.33 mm2 PUBLISHED RANGE,JST SERIES HEADLINE 3 A IS AT AWG22 ONLY - NOT APPLIED TO THIS AWG24 CANDIDATE,0.019886,0.049696,0.124190,MANUFACTURER MAX DCR AT 20 C AND CANDIDATE CURRENT CAP; NOT HOT/BUNDLED/RMS/REGENERATION RATING,"OPEN - AMPACITY, DERATING, CONNECTOR TEMPERATURE-RISE AND DUTY-CYCLE TEST REQUIRED",TEST-COUPON CANDIDATE - BEND/TORSION DISTRIBUTION AND CYCLE LIFE REQUIRE ROUTE TEST,SELECTION REQUIRED,SELECTION REQUIRED,GEOMETRICALLY COMPATIBLE TEST-COUPON CANDIDATE; NOT RELEASED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
