cavity_id,connector_id,connector_role,axis_id,bus_id,pin,signal,physical_role,required_population,actual_population,continuity_target,no_backfeed_requirement,execution_state,authority,warning
IN-L_HIP_YAW-1,J-ACT-L_HIP_YAW,ACTUATOR INPUT,L_HIP_YAW,RS-LLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_YAW-2,J-ACT-L_HIP_YAW,ACTUATOR INPUT,L_HIP_YAW,RS-LLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_YAW-3,J-ACT-L_HIP_YAW,ACTUATOR INPUT,L_HIP_YAW,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_YAW-4,J-ACT-L_HIP_YAW,ACTUATOR INPUT,L_HIP_YAW,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_YAW-1,J-OUT-L_HIP_YAW,DATA-ONLY OUTGOING,L_HIP_YAW,RS-LLEG,1,GND,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_YAW-2,J-OUT-L_HIP_YAW,DATA-ONLY OUTGOING,L_HIP_YAW,RS-LLEG,2,VDD,MUST REMAIN EMPTY,EMPTY,NOT INSPECTED,OPEN CIRCUIT,NO CONTINUITY TO GND/VDD OR ANY ADJACENT ACTUATOR BRANCH,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_YAW-3,J-OUT-L_HIP_YAW,DATA-ONLY OUTGOING,L_HIP_YAW,RS-LLEG,3,DATA+,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
OUT-L_HIP_YAW-4,J-OUT-L_HIP_YAW,DATA-ONLY OUTGOING,L_HIP_YAW,RS-LLEG,4,DATA-,SERIAL DATA,POPULATED,NOT INSPECTED,RS-LLEG,N/A,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_ROLL-1,J-ACT-L_HIP_ROLL,ACTUATOR INPUT,L_HIP_ROLL,RS-LLEG,1,GND,INDIVIDUAL BRANCH RETURN,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IN-L_HIP_ROLL-2,J-ACT-L_HIP_ROLL,ACTUATOR INPUT,L_HIP_ROLL,RS-LLEG,2,VDD,INDIVIDUAL PROTECTED BRANCH POSITIVE,POPULATED,NOT INSPECTED,INDIVIDUAL PBR,VERIFY ISOLATED FROM ADJACENT POWER BRANCHES,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
