prerequisite_id,required_evidence,state,effect,warning
AUTH-001,P1.21 has independent terminal review and qualified electrical disposition,OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AUTH-002,Pilz and Phoenix written responses satisfy RA-001 through RA-012,OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AUTH-003,Exact received 750104 and two 2967060 articles pass identity and terminal inspection,OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AUTH-004,A no-load fixture drawing and point-to-point schedule are released and independently checked,OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AUTH-005,"Actuator source, actuators and K1/K2 power poles are physically absent; low-energy contact-state sensing only",OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AUTH-006,"Current-limited isolated 24 V source, protection and emergency isolation are selected and reviewed",OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AUTH-007,"All instruments have in-date calibration and adequate bandwidth, isolation and ratings",OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AUTH-008,Manufacturer-derived numeric limits and test-point grid are entered; no field is left SELECTION REQUIRED,OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AUTH-009,Configuration-specific procedure is signed by test owner and qualified reviewers; stop-work conditions briefed,OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
AUTH-010,"Separate written E2 control-only work authorization identifies people, place, date, boundary and revision",OPEN,No test authority,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
